Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Age,Nature,Observation Status,Reporting Type,Sex,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2005,22.81,2005,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2005,13.33,2005,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2005,32.78,2005,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2006,22.62,2006,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2006,32.64,2006,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2006,13.11,2006,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2007,12.93,2007,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2007,32.25,2007,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2007,22.33,2007,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2008,22.14,2008,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,BOTHSEX,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2008,31.9,2008,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2008,12.89,2008,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2009,13.22,2009,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,MALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.6,8.6.1,SL_TLF_NEET,"Proportion of youth not in education, employment or training, by sex and age - 13th ICLS (%)",1,World,2009,31.79,2009,,,,,"ILO modelled estimates, Aug. 2024",,,15-24,N,A,G,FEMALE,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
